,Operador_Padronizado,Classificacao_da_Ocorrencia,Data_da_Ocorrencia,Municipio,UF,Regiao,Descricao_do_Tipo,Historico,Matricula,Categoria_da_Aeronave,Operador,Tipo_de_Ocorrencia,Fase_da_Operacao,Operacao,Danos_a_Aeronave,Lesoes_Fatais_Tripulantes,Lesoes_Fatais_Passageiros,Lesoes_Fatais_Terceiros,Lesoes_Graves_Tripulantes,Lesoes_Graves_Passageiros,Lesoes_Graves_Terceiros,Lesoes_Leves_Tripulantes,Lesoes_Leves_Passageiros,Lesoes_Leves_Terceiros,Ilesos_Tripulantes,Ilesos_Passageiros,Lesoes_Desconhecidas_Tripulantes,Lesoes_Desconhecidas_Passageiros,Lesoes_Desconhecidas_Terceiros,Modelo,Numero_de_Assentos,Nome_do_Fabricante,Coordenadas
9924,AZUL LINHAS AÉREAS BRASILEIRAS S.A.,Incidente,27/12/2022,RIO DE JANEIRO,RJ,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave decolou do aeródromo Afonso Pena (SBCT), Curitiba, PR, com destino ao aeródromo Santos Dumont (SBRJ), Rio de Janeiro, RJ, com 06 (seis) tripulantes e 174 (cento e setenta e quatro) passageiros a bordo, a fim de realizar transporte aéreo público regular. Durante a fase de aproximação, a aeronave apresentou falha no sistema hidráulico. A tripulação efetuou os procedimentos previstos no QRH e o voo alternou pouso no aeródromo Galeão - Antônio Carlos Jobim (SBGL), Rio de Janeiro, RJ.",PRYRR,TPR,AZUL LINHAS AÉREAS BRASILEIRAS S.A.,SCF-NP,Aproximação,Voo Regular,Nenhum,,,,,,,,,,6.0,174.0,,,,A320-253N,182.0,AIRBUS S.A.S.,"-22,4836 -43,1502"
9942,AEROCLUBE DO PARANA,Incidente,08/10/2022,CURITIBA,PR,Sul,COLISÃO COM AVE,"A aeronave decolou do aeródromo Bacacheri (SBBI), no município de Curitiba, PR, aproximadamente às 20h30min (UTC), a fim de realizar voo de instrução com um piloto e um aluno a bordo.Durante o pouso, ao tocar na pista, houve a colisão contra um pássaro, contudo o voo prosseguiu normalmente até o corte dos motores",PRBBE,PRI,AEROCLUBE DO PARANA,BIRD,Corrida após pouso,Voo de Instrução,Nenhum,,,,,,,,,,2.0,,,,,152,2.0,CESSNA AIRCRAFT,"-25,2412 -49,1401"
9948,AZUL,Incidente,27/07/2022,BELÉM,PA,Norte,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave decolou do aeródromo Maestro Wilson Fonseca (SBSN), Santarém, PA, com destino ao aeródromo Val de Cans - Júlio Cezar Ribeiro (SBBE), Belém, PA, com 4 (quatro) tripulantes e 171 (cento e setenta e um) passageiros a bordo, a fim de realizar transporte aéreo público regular. Durante a aproximação, a aeronave apresentou falha no sistema hidráulico. Após realizar os procedimentos previstos, o pouso foi realizado sem maiores intercorrências.",PRYYI,TPR,AZUL LINHAS AEREAS BRASILEIRAS S.A,SCF-NP,Aproximação,Voo Regular,Nenhum,,,,,,,,,,4.0,171.0,,,,A320-251N,173.0,AIRBUS S.A.S.,"-1,38472 -48,4789"
9951,PROMAX PRODUTOS MÁXIMOS S/A INDÚSTRIA E COMÉRCIO,Acidente,19/10/2022,SÃO PAULO,SP,Sudeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,"A aeronave decolou do Aeródromo de Congonhas (SBSP), São Paulo, SP, para um voo local, com um piloto e um mecânico a bordo. Durante a aproximação final, a aeronave apresentou falha no motor e chocou-se contra o solo.",PPBDL,TPP,PROMAX PRODUTOS MÁXIMOS S/A INDÚSTRIA E COMÉRCIO,SCF-PP,Aproximação,Voo Privado,Substancial,,,,2.0,,,,,,,,,,,407,7.0,BELL HELICOPTER,"-23,3823 -46,3939"
9974,,Ocorrência Anormal,28/02/2022,LEME,SP,Sudeste,OUTROS,"A aeronave foi encontrada em chamas por trabalhadores rurais, sem a presença de tripulantes ou passageiros. O incêndio foi controlado por brigada da própria fazenda e autoridades locais foram acionadas.",*****,Sem matrícula,,OTHR,Indeterminada,,,,,,,,,,,,,,,,,,,,"-22,0917 -47,2306"
9993,AZUL LINHAS AÉREAS BRASILEIRAS S.A.,Ocorrência Anormal,28/01/2022,PORTO SEGURO,BA,Nordeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave decolou do Aeroporto Deputado Luis Eduardo Magalhães (SBSV), Salvador, BA, com destino ao Aeroporto de Porto Seguro (SBPS), Porto Seguro, BA, a fim de realizar transporte aéreo público regular, com cinco tripulantes e oitenta e dois passageiros a bordo.Durante a descida a aeronave apresentou a mensagem de falha no sistema de freio de estacionamento. A tripulação efetuou os procedimentos previstos e o voo prosseguiu para o aeródromo de destino. O pouso foi realizado sem intercorrências.",PRAXK,TPR,AZUL LINHAS AÉREAS BRASILEIRAS S.A.,SCF-NP,Descida,Voo Regular,Nenhum,,,,,,,,,,5.0,82.0,,,,ERJ 190-200 LR,126.0,EMBRAER,"-16,4381 -39,0839"
9994,AEROCLUBE DO RIO GRANDE DO SUL,Incidente,13/06/2022,PORTO ALEGRE,RS,Sul,FOGO/FUMAÇA,"A aeronave iria decolar do aeródromo de Belém Novo (SSBN), Porto Alegre, RS, a fim de realizar voo local panorâmico, com 01 piloto e 02 passageiros a bordo. Durante o acionamento, houve indícios de fogo no motor. A partida foi abortada e foram executadas as medidas de extinção de fogo pela equipe de solo.",PTVBQ,PRI,AEROCLUBE DO RIO GRANDE DO SUL,F-NI,Partida do motor,Voo Privado,Leve,,,,,,,,,,1.0,2.0,,,,EMB-712,4.0,NEIVA,"-30,187 -51,1813"
9995,RIO ACRE AEROTAXI LTDA ME,Incidente,19/06/2022,BELÉM,PA,Norte,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave decolou do Aeródromo Maestro Wilson Fonseca (SBSN), Santarém, PA, com destino ao aeródromo Val de Cans - Júlio Cesar Ribeiro (SBBE), Belém, PA, por volta das 13h32min (UTC), a fim de realizar voo de transporte de passageiros, com um piloto e três passageiros a bordo. Durante a corrida após o pouso, verificou-se o esvaziamento do pneu do trem de pouso do nariz da aeronave.",PTOBL,TPX,RIO ACRE AEROTAXI LTDA,SCF-NP,Corrida após pouso,Táxi Aéreo,Leve,,,,,,,,,,1.0,3.0,,,,EMB-810C,7.0,EMBRAER,"-1,38472 -48,4789"
9996,AZUL LINHAS AÉREAS BRASILEIRAS S.A.,Incidente,06/05/2022,CORREIA PINTO,SC,Sul,OUTROS,"A aeronave decolou do Aeroporto de Campinas - Viracopos (SBKP), Campinas, SP, com destino ao Aeroporto Regional do Planalto Serrano (SNCP), Correia Pinto, SC, por volta das 10h30min (UTC), a fim de efetuar transporte aéreo público regular, com cinco tripulantes e cento e onze passageiros a bordo. Durante a aproximação, devido a ação de fenômeno meteorológico, a aeronave chegou desestabilizada para pouso final e arremeteu, ultrapassando verticalmente os mínimos do procedimento instrumento durante a arremetida. Após realizada a segunda aproximação, ocorreu novamente a perda da aproximação devido a não obtenção de condições visuais. O voo prosseguiu para pouso no aeródromo de alternativa Hercílio Luz (SBFL), Florianópolis, SC.",PRAYW,TPR,AZUL LINHAS AÉREAS BRASILEIRAS S.A.,OTHR,Aproximação,Voo Regular,Nenhum,,,,,,,,,,5.0,111.0,,,,ERJ 190-200 LR,125.0,EMBRAER,"-27,6342 -50,3583"
9997,AZUL,Incidente,20/07/2022,CONFINS,MG,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave decolou do aeródromo Tancredo Neves (SBCF), Confins, MG, com destino ao aeródromo Isaac Moura Rocha (SNGI), Guanambi, BA, com 04 (quatro) tripulantes e 49 (quarenta e nove) passageiros a bordo, a fim de realizar transporte aéreo público regular. Após a decolagem, os trens de pouso não recolheram e foi declarado urgência. Foi realizado espera de 40 minutos para gasto de combustível, e após a realização dos procedimentos previstos, o pouso foi realizado em SBCF sem maiores intercorrências.",PRAQA,TPR,AZUL LINHAS AEREAS BRASILEIRAS S.A,SCF-NP,Decolagem,Voo Regular,Nenhum,,,,,,,,,,4.0,49.0,,,,ATR-72-212A,75.0,ATR - GIE AVIONS DE TRANSPORT RÉGIONAL,"-19,6244 -43,9719"
9998,JOANA DARK STOCO,Incidente Grave,20/08/2022,SÃO PAULO,SP,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave decolou do aeródromo Campo de Marte (SBMT), São Paulo, SP, a fim de realizar voo local privado com dois tripulantes e um passageiro a bordo. Após a decolagem, reportou falha elétrica total, não conseguindo efetuar o abaixamento do trem de pouso pelo sistema normal, nem pelo sistema de emergência, vindo a realizar a aproximação com o trem de pouso parcialmente distendido, o qual recolheu após o toque na pista.",PTDKA,TPP,JOANA DARK STOCO,SCF-NP,Decolagem,Voo Privado,Leve,,,,,,,,,,2.0,1.0,,,,PA-24-260,6.0,PIPER AIRCRAFT,"-23,509 -46,6384"
9999,MARIA DE LOURDES B. P. BARBOSA COELHO,Incidente Grave,19/08/2022,PORTO MURTINHO,MS,Centro-Oeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,"A aeronave decolou do aeródromo Fazenda Amonguijá (SSAV), Porto Murtinho, MS, com destino ao aeródromo Estância Santa Maria (SSKG), Campo Grande, MS, a fim de realizar voo privado com um tripulante a bordo. Após 30 minutos de voo, o motor da aeronave perdeu potência e o piloto realizou pouso em emergência em área de descampada.",PTZRB,PET,MARIA DE LOURDES B. P. BARBOSA COELHO,SCF-PP,Cruzeiro,Voo Experimental,Leve,,,,,,,,,,1.0,,,,,SPORTSMAN 2+2,4.0,NATANAEL RIBEIRO CINTRA,"-21,5261 -57,0286"
10001,OMNI TÁXI AÉREO S.A.,Incidente,05/11/2022,CAMPOS DOS GOYTACAZES ,RJ,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave decolou do Aeródromo de Macaé (SBME), Macaé, RJ, com destino ao Helideque de Skandi Niterói (9PEB), na Bacia de Campos, RJ, por volta das 10h00min (UTC), a fim de realizar transporte de pessoal, com dois tripulantes e nove passageiros a bordo.Com cerca de 30 minutos de voo, durante a aproximação final, houve a abertura inadvertida da carenagem do nariz (radome) da aeronave.A tripulação prosseguiu para pouso em 9PEB.",PROHR,M05,OMNI TÁXI AÉREO S.A.,SCF-NP,Aproximação,Táxi Aéreo,Nenhum,,,,,,,,,,2.0,9.0,,,,AW139,17.0,AGUSTA,"-22,2914 -40,0547"
10014,CIA.HIDRO ELETRICA DO SAO FRANCISCO,Acidente,05/06/2022,CURRAIS NOVOS,RN,Nordeste,OPERAÇÃO A BAIXA ALTITUDE,"A aeronave decolou do Aeródromo São Gonçalo do Amarante - Governador Aluizio Alves (SBSG), Natal, RN, às 15h34min (UTC), com destino ao Aeródromo Dix-Sept Rosado (SBMS), Mossoró, RN, a fim de realizar um voo de inspeção nas linhas de transmissão da Companhia Hidro Elétrica do São Francisco (CHESF), com um piloto e dois passageiros a bordo. Durante o voo de inspeção, a aeronave colidiu contra uma linha de transmissão e caiu em um açude, ficando submersa.",PPMCJ,TPP,CIA.HIDRO ELETRICA DO SAO FRANCISCO,LALT,Manobra,Voo Privado,Destruída,1.0,2.0,,,,,,,,,,,,,206B,5.0,BELL HELICOPTER,"-6,22583 -36,5461"
10015,AZUL,Incidente,02/06/2022,CAMPINAS,SP,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave decolou do Aeródromo Zumbi dos Palmares (SBMO), Maceió, AL com destino ao Aeródromo de Viracopos (SBKP), Campinas, SP, com 07 (sete) tripulantes e 218 (duzentos e dezoito) passageiros a bordo, a fim de realizar transporte aéreo público regular. Durante a fase de aproximação, a aeronave apresentou mensagem de falha do SLAT. Após a execução de procedimentos previstos em manual, a aeronave pousou no Aeródromo de destino sem maiores intercorrências.",PRYJA,TPR,AZUL LINHAS AEREAS BRASILEIRAS S.A,SCF-NP,Aproximação,Voo Regular,Nenhum,,,,,,,,,,7.0,218.0,,,,A321-251NX,223.0,AIRBUS S.A.S.,"-23,0069 -47,1344"
10016,DANILO DA SILVA SANTOS,Acidente,27/05/2022,ITAQUIRAÍ,MS,Centro-Oeste,INDETERMINADO,"A aeronave realizou um pouso forçado em propriedade rural na região de Itaquiraí, MS, na fazenda Boa Esperança. A origem da aeronave é desconhecida, bem como a razão do pouso realizado.",PPBAR,TPP,DANILO DA SILVA SANTOS,UNK,,Voo Privado,Substancial,,,,,,,1.0,,,,,,,,A36,6.0,BEECH AIRCRAFT,"-23,271 -54,346"
10018,AEROCLUBE DO RIO GRANDE DO SUL,Incidente,17/11/2022,PAVERAMA,RS,Sul,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave decolou do aeródromo de Belém Novo (SSBN), no município de Porto Alegre, RS, com destino ao aeródromo de Lauro Kurtz (SBPF), no município de Passo Fundo, RS, aproximadamente às 11H45MIN (UTC), fins de realizar voo de instrução, com um instrutor e um aluno a bordo. Às 12H28MIN (UTC), durante a subida, houve falha no sistema de comunicação da aeronave, foi acionado o código 7600 e a aeronave retornou para SSBN sem outras anormalidades.",PTVBQ,PRI,AEROCLUBE DO RIO GRANDE DO SUL,SCF-NP,Subida,Voo de Instrução,Nenhum,,,,,,,,,,2.0,,,,,EMB-712,4.0,NEIVA,"-29,3716 -51,3858"
10019,SAFE ESCOLA DE AVIAÇÃO CIVIL LTDA.,Incidente,11/12/2022,CAÇAPAVA,SP,Sudeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,"A aeronave decolou do aeródromo Professor Urbano Ernesto Stumpf (SBSJ), São José dos Campos, SP, para voo local de instrução, com um instrutor e um aluno a bordo. Durante o voo, na vertical da cidade de Caçapava, SP, houve perda momentânea de potência do motor, que foi restabelecida na sequência. O pouso foi realizado sem nenhuma intercorrência.",PSSFE,PRI,SAFE ESCOLA DE AVIAÇÃO CIVIL LTDA.,SCF-PP,Cruzeiro,Voo de Instrução,Nenhum,,,,,,,,,,2.0,,,,,MONTAER MC01,2.0,MONTAER - MONTAGEM E MANUTENCAO AERONAUTICA LTDA,"-23,0607 -45,4225"
10020,TEXTOR AVIACAO AGRICOLA LTDA - EPP,Acidente,21/12/2022,"Fazenda Boa Vista, Quirinópolis",GO,Centro-Oeste,EXCURSÃO DE PISTA,"A aeronave decolou da área de pouso para uso aeroagrícola (APUA) da Fazenda Boa Vista (ZZZZ), município de Quirinópolis, GO, a fim de realizar voo local de aplicação de defensivos agrícolas, com um tripulante a bordo. Durante o pouso ocorreu a perda de controle da aeronave e posterior saída pela lateral esquerda da pista.",PTWKW,S05,TEXTOR AVIACAO AGRICOLA LTDA - EPP,RE,Corrida após pouso,Operação Especializada,Substancial,,,,,,,,,,1.0,,,,,A188B,1.0,CESSNA AIRCRAFT,"-18,3306 -50,2504"
10021,TEXTOR AVIACAO AGRICOLA LTDA - EPP,Acidente,21/12/2022,"Fazenda Boa Vista, Quirinópolis",GO,Centro-Oeste,PERDA DE CONTROLE NO SOLO,"A aeronave decolou da área de pouso para uso aeroagrícola (APUA) da Fazenda Boa Vista (ZZZZ), município de Quirinópolis, GO, a fim de realizar voo local de aplicação de defensivos agrícolas, com um tripulante a bordo. Durante o pouso ocorreu a perda de controle da aeronave e posterior saída pela lateral esquerda da pista.",PTWKW,S05,TEXTOR AVIACAO AGRICOLA LTDA - EPP,LOC-G,Corrida após pouso,Operação Especializada,Substancial,,,,,,,,,,1.0,,,,,A188B,1.0,CESSNA AIRCRAFT,"-18,3306 -50,2504"
10033,AERO RIO TAXI AEREO LTDA,Incidente,16/11/2022,RIO DE JANEIRO,RJ,Sudeste,COLISÃO NO SOLO,"A aeronave PR-WRO realizava o táxi no pátio de estacionamento do aeroporto Antonio Carlos Jobim (SBGL), com destino ao aeroporto Presidente Juscelino Kubitschek (SBBR), por volta das 17h30min (UTC), a fim de transportar pessoal, com dois pilotos, uma atendente e um passageiro a bordo. Durante a manobra para sair do pátio de estacionamento a aeronave PR-WRO colidiu a ponta da asa direita no radome da aeronave PR-VZR, que encontrava-se estacionada.",PRVZR,TPX,AERO RIO TAXI AEREO LTDA,GCOL,Estacionamento,Táxi Aéreo,Leve,,,,,,,,,,,,,,,GIV-X,17.0,GULFSTREAM,"-22,4836 -43,1502"
10034,AERO RIO TAXI AEREO LTDA,Incidente,16/11/2022,RIO DE JANEIRO,RJ,Sudeste,COLISÃO NO SOLO,"A aeronave PR-WRO realizava o táxi no pátio de estacionamento do aeroporto Antonio Carlos Jobim (SBGL), com destino ao aeroporto Presidente Juscelino Kubitschek (SBBR), por volta das 17h30min (UTC), a fim de transportar pessoal, com dois pilotos, uma atendente e um passageiro a bordo. Durante a manobra para sair do pátio de estacionamento a aeronave PR-WRO colidiu a ponta da asa direita no radome da aeronave PR-VZR, que encontrava-se estacionada.",PRWRO,TPX,AERO RIO TAXI AEREO LTDA,GCOL,Táxi,Táxi Aéreo,Leve,,,,,,,,,,2.0,2.0,,,,GV-SP,20.0,GULFSTREAM,"-22,4836 -43,1502"
10042,MARCO TULLIO BATISTA PIRES,Incidente,13/01/2022,DIVINÓPOLIS,MG,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave decolou do aeródromo de Divinópolis (SNDV), Divinópolis, MG, com destino ao aeródromo de Pouso Alegre (SNZA), Pouso Alegre, MG, a fim de realizar um voo privado com um tripulante e um passageiro a bordo. Após a decolagem, o piloto percebeu que uma janela estava trincada e retornou para pouso. A aeronave teve danos leves restritos à janela.",PRZHC,PET,MARCO TULLIO BATISTA PIRES,SCF-NP,Decolagem,Voo Privado,Leve,,,,,,,,,,1.0,1.0,,,,RV-10,4.0,RUPERT INDUSTRIA AERONAUTICA LTDA ME,"-20,1819 -44,87"
10043,CLODOALDO LOPES DIAS,Incidente,13/01/2022,DIVINÓPOLIS,MG,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave decolou do aeródromo de Divinópolis (SNDV), Divinópolis, MG, com destino ao aeródromo de Pouso Alegre (SNZA), Pouso Alegre, MG, a fim de realizar um voo privado com um tripulante e um passageiro a bordo. Após a decolagem, o piloto percebeu que uma janela estava trincada e retornou para pouso. A aeronave teve danos leves restritos à janela.",PRZHC,PET,CLODOALDO LOPES DIAS,SCF-NP,Decolagem,Voo Privado,Leve,,,,,,,,,,1.0,1.0,,,,RV-10,4.0,RUPERT INDUSTRIA AERONAUTICA LTDA ME,"-20,1819 -44,87"
10044,AZUL,Incidente,02/05/2022,CURITIBA,PR,Sul,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave decolou do Aeródromo Afonso Pena (SBCT), Curitiba, PR com destino ao Aeródromo Silvio Name Junior (SBMG), Maringá, PR, com 04 (quatro) tripulantes e 49 (quarenta e nove) passageiros a bordo. Durante a fase de subida, a aeronave apresentou falha no duto de ar condicionado, com consequente aumento da temperatura da cabine. Após a execução de procedimentos previstos em manual, a aeronave retornou ao Aeródromo de origem, onde pousou sem maiores intercorrências.",PRAKF,TPR,AZUL LINHAS AEREAS BRASILEIRAS S.A,SCF-NP,Subida,Voo Regular,Nenhum,,,,,,,,,,4.0,49.0,,,,ATR-72-212A,75.0,ATR - GIE AVIONS DE TRANSPORT RÉGIONAL,"-25,5317 -49,1761"
